CONTENT,INITIATION DATE,RELEVANT DEPARTMENT,CATEGORY
근로기준법 일부개정법률안,2019-08-01,고용노동부,일자리
담배사업법 일부개정법률안,2019-08-01,기획재정부,행정
원자력안전위원회의 설치 및 운영에 관한 법률 일부개정법률안,2019-08-01,원자력안전위원회,안전/환경
원자력안전법 일부개정법률안,2019-08-01,원자력안전위원회,안전/환경
관광진흥법 일부개정법률안,2019-08-01,문화체육관광부,문화/예술/체육/언론
민법 일부개정법률안,2019-08-01,법무부,정치개혁
폐기물의 국가 간 이동 및 그 처리에 관한 법률 일부개정법률안,2019-08-01,환경부,안전/환경
인사청문회법 일부개정법률안,2019-08-01,법제처,정치개혁
실종성인의 소재발견 및 수색에 관한 법률안,2019-08-01,경찰청,행정
물환경보전법 일부개정법률안,2019-08-01,환경부,안전/환경
재난 및 안전관리 기본법 일부개정법률안,2019-08-01,행정안전부,행정
국유재산특례제한법 일부개정법률안,2019-08-01,기획재정부,행정
수입식품안전관리 특별법 일부개정법률안,2019-08-01,식품의약품안전처,안전/환경
약사법 일부개정법률안,2019-08-01,보건복지부,보건복지
공동주택관리법 일부개정법률안,2019-08-01,국토교통부,교통/건축/국토
출입국관리법 일부개정법률안,2019-08-01,법무부,정치개혁
고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안,2019-08-02,고용노동부,일자리
자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,2019-08-02,환경부,안전/환경
정부조직법 일부개정법률안,2019-08-02,행정안전부,행정
축산법 일부개정법률안,2019-08-02,농림축산식품부,농산어촌
정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,2019-08-02,보건복지부,보건복지
세종특별자치시 설치 등에 관한 특별법 전부개정법률안,2019-08-02,행정안전부,행정
근로기준법 일부개정법률안,2019-08-02,고용노동부,일자리
공공기관의 운영에 관한 법률 일부개정법률안,2019-08-02,기획재정부,행정
방위사업법 일부개정법률안,2019-08-02,국방부,외교/통일/국방
자원봉사활동 기본법 일부개정법률안,2019-08-02,행정안전부,행정
조세특례제한법 일부개정법률안,2019-08-02,기획재정부,행정
생활물류서비스산업발전법안,2019-08-02,국토교통부,교통/건축/국토
조세특례제한법 일부개정법률안,2019-08-02,기획재정부,행정
5·18민주화운동 진상규명을 위한 특별법 일부개정법률안,2019-08-05,국방부,외교/통일/국방
건설근로자의 고용개선 등에 관한 법률 일부개정법률안,2019-08-05,고용노동부,일자리
물관리기술 발전 및 물산업 진흥에 관한 법률  일부개정법률안,2019-08-05,환경부,안전/환경
장애아동 복지지원법 일부개정법률안,2019-08-05,보건복지부,보건복지
조세특례제한법 일부개정법률안,2019-08-05,기획재정부,행정
특허법 일부개정법률안,2019-08-05,특허청,기타
어린이안전관리에 관한 법률안,2019-08-05,행정안전부,행정
학교급식법 일부개정법률안,2019-08-05,교육부,육아/교육
도시공간 혁신 규제특례법안,2019-08-05,국토교통부,교통/건축/국토
국가공무원법 일부개정법률안,2019-08-05,인사혁신처,행정
의무소방대설치법 일부개정법률안,2019-08-05,소방청,안전/환경
공직선거법 일부개정법률안,2019-08-05,법제처,정치개혁
의무경찰대 설치 및 운영에 관한 법률 일부개정법률안,2019-08-05,경찰청,행정
의료법 일부개정법률안,2019-08-05,보건복지부,보건복지
지방공무원법 일부개정법률안,2019-08-05,행정안전부,행정
조세특례제한법 일부개정법률안,2019-08-06,기획재정부,행정
교통약자의 이동편의 증진법 일부개정법률안,2019-08-06,국토교통부,교통/건축/국토
근로기준법 일부개정법률안,2019-08-06,고용노동부,일자리
주택법 일부개정법률안,2019-08-06,국토교통부,교통/건축/국토
국민연금법 일부개정법률안,2019-08-06,보건복지부,보건복지
의료법 일부개정법률안,2019-08-06,보건복지부,보건복지
한국장학재단 설립 등에 관한 법률 일부개정법률안,2019-08-06,교육부,육아/교육
산림문화·휴양에 관한 법률 일부개정법률안,2019-08-06,산림청,안전/환경
조세특례제한법 일부개정법률안,2019-08-06,기획재정부,행정
마약류 관리에 관한 법률 일부개정법률안,2019-08-06,식품의약품안전처,안전/환경
스마트도시 조성 및 산업진흥 등에 관한 법률 일부개정법률안,2019-08-06,국토교통부,교통/건축/국토
정보통신산업 진흥법 일부개정법률안,2019-08-06,과학기술정보통신부,성장동력
인체조직안전 및 관리 등에 관한 법률 일부개정법률안,2019-08-06,식품의약품안전처,안전/환경
아동복지법 일부개정법률안,2019-08-06,보건복지부,보건복지
의료기기법 일부개정법률안,2019-08-06,식품의약품안전처,안전/환경
화장품법 일부개정법률안,2019-08-06,식품의약품안전처,안전/환경
국유재산법 일부개정법률안,2019-08-06,기획재정부,행정
전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,2019-08-06,중소벤처기업부,일자리
형사소송법 일부개정법률안,2019-08-07,법무부,정치개혁
아시아문화중심도시 조성에 관한 특별법 일부개정법률안,2019-08-07,문화체육관광부,문화/예술/체육/언론
자본시장과 금융투자업에 관한 법률 일부개정법률안,2019-08-07,금융위원회,경제민주화
동물보호법 일부개정법률안,2019-08-07,농림축산식품부,농산어촌
조세특례제한법 일부개정법률안,2019-08-07,기획재정부,행정
초·중등교육법 일부개정법률안,2019-08-07,교육부,육아/교육
여성기업지원에 관한 법률 일부개정법률안,2019-08-07,중소벤처기업부,일자리
경찰대학 설치법 전부개정법률안,2019-08-07,경찰청,행정
물류시설의 개발 및 운영에 관한 법률 일부개정법률안,2019-08-07,국토교통부,교통/건축/국토
경찰공무원법 일부개정법률안,2019-08-07,경찰청,행정
아동·청소년의 성보호에 관한 법률 일부개정법률안,2019-08-08,여성가족부,인권/성평등
교육공무원법 일부개정법률안,2019-08-08,교육부,육아/교육
주택법 일부개정법률안,2019-08-08,국토교통부,교통/건축/국토
조세특례제한법 일부개정법률안,2019-08-08,기획재정부,행정
식품위생법 일부개정법률안,2019-08-08,식품의약품안전처,안전/환경
도로교통법 일부개정법률안,2019-08-08,경찰청,행정
게임산업진흥에 관한 법률 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
소방기본법 일부개정법률안,2019-08-08,소방청,안전/환경
한국감정원법 일부개정법률안,2019-08-08,국토교통부,교통/건축/국토
가맹사업거래의 공정화에 관한 법률 일부개정법률안,2019-08-08,공정거래위원회,성장동력
형사소송법 일부개정법률안,2019-08-08,법무부,정치개혁
조세특례제한법 일부개정법률안,2019-08-08,기획재정부,행정
콘텐츠산업 진흥법 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
저작권법 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
한국토지주택공사법 일부개정법률안,2019-08-08,국토교통부,교통/건축/국토
잡지 등 정기간행물의 진흥에 관한 법률 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
교육공무원법 일부개정법률안,2019-08-08,교육부,육아/교육
사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안,2019-08-08,법무부,정치개혁
관광진흥법 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
사립학교법 일부개정법률안,2019-08-08,교육부,육아/교육
영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
관광진흥개발기금법 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
박물관 및 미술관 진흥법 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
통신비밀보호법 일부개정법률안,2019-08-08,과학기술정보통신부,성장동력
국제상거래에 있어서 외국공무원에 대한 뇌물방지법 일부개정법률안,2019-08-08,법무부,정치개혁
언론중재 및 피해구제 등에 관한 법률 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
공공디자인의 진흥에 관한 법률 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
공연법 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
음악산업진흥에 관한 법률 일부개정법률안,2019-08-08,문화체육관광부,문화/예술/체육/언론
범죄수익은닉의 규제 및 처벌 등에 관한 법률 일부개정법률안,2019-08-08,법무부,정치개혁
성매매방지 및 피해자보호 등에 관한 법률 일부개정법률안,2019-08-09,여성가족부,인권/성평등
한국투자공사법 일부개정법률안,2019-08-09,기획재정부,행정
사립학교법 일부개정법률안,2019-08-09,교육부,육아/교육
지방재정법 일부개정법률안,2019-08-09,행정안전부,행정
공익신고자 보호법 일부개정법률안,2019-08-09,국민권익위원회,인권/성평등
조세특례제한법 일부개정법률안,2019-08-09,기획재정부,행정
지방세법 일부개정법률안,2019-08-09,행정안전부,행정
공중화장실 등에 관한 법률 일부개정법률안,2019-08-09,행정안전부,행정
산업안전보건법 일부개정법률안,2019-08-09,고용노동부,일자리
국가를 당사자로 하는 계약에 관한 법률 일부개정법률안,2019-08-09,기획재정부,행정
지방공무원법 일부개정법률안,2019-08-09,행정안전부,행정
국립대학법인 인천대학교 설립·운영에 관한 법률 일부개정법률안,2019-08-09,교육부,육아/교육
국가공무원법 일부개정법률안,2019-08-09,인사혁신처,행정
사립학교법 일부개정법률안,2019-08-09,교육부,육아/교육
주택법 일부개정법률안,2019-08-09,국토교통부,교통/건축/국토
치유농업 육성 및 지원에 관한 법률안,2019-08-09,농촌진흥청,농산어촌
민법 일부개정법률안,2019-08-09,법무부,정치개혁
근로기준법 일부개정법률안,2019-08-09,고용노동부,일자리
이러닝(전자학습)산업 발전 및 이러닝 활용 촉진에 관한 법률 일부개정법률안,2019-08-09,산업통상자원부,성장동력
자동차손해배상 보장법 일부개정법률안,2019-08-12,국토교통부,교통/건축/국토
주택법 일부개정법률안,2019-08-12,국토교통부,교통/건축/국토
출입국관리법 일부개정법률안,2019-08-12,법무부,정치개혁
조세특례제한법 일부개정법률안,2019-08-12,기획재정부,행정
자연환경보전법 일부개정법률안,2019-08-12,환경부,안전/환경
대한적십자사 조직법 일부개정법률안,2019-08-12,보건복지부,보건복지
정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,2019-08-12,보건복지부,보건복지
국토안전관리원법안,2019-08-12,국토교통부,교통/건축/국토
국유재산특례제한법 일부개정법률안,2019-08-12,기획재정부,행정
발명진흥법 일부개정법률안,2019-08-12,특허청,기타
조세특례제한법 일부개정법률안,2019-08-12,기획재정부,행정
조세특례제한법 일부개정법률안,2019-08-13,기획재정부,행정
지방세특례제한법 일부개정법률안,2019-08-13,행정안전부,행정
자동차손해배상 보장법 일부개정법률안,2019-08-13,국토교통부,교통/건축/국토
수산업법 일부개정법률안,2019-08-13,해양수산부,농산어촌
농어촌정비법 일부개정법률안,2019-08-13,농림축산식품부,농산어촌
독점규제 및 공정거래에 관한 법률 일부개정법률안,2019-08-13,공정거래위원회,성장동력
교통약자의 이동편의 증진법 일부개정법률안,2019-08-13,국토교통부,교통/건축/국토
독립기념관법 일부개정법률안,2019-08-13,국가보훈처,보건복지
장애물 없는 생활환경 조성에 관한 법률안,2019-08-13,보건복지부,보건복지
지방세법 일부개정법률안,2019-08-13,행정안전부,행정
수도법 일부개정법률안,2019-08-13,환경부,안전/환경
장애인·노인·임산부 등의 편의증진 보장에 관한 법률 일부개정법률안,2019-08-13,보건복지부,보건복지
장애인복지법 일부개정법률안,2019-08-13,보건복지부,보건복지
하천법 일부개정법률안,2019-08-13,국토교통부,교통/건축/국토
초·중등교육법 일부개정법률안,2019-08-13,교육부,육아/교육
상가건물 임대차보호법 일부개정법률안,2019-08-13,법무부,정치개혁
수산자원관리법 일부개정법률안,2019-08-13,해양수산부,농산어촌
뉴스통신 진흥에 관한 법률 일부개정법률안,2019-08-13,문화체육관광부,문화/예술/체육/언론
조세특례제한법 일부개정법률안,2019-08-13,기획재정부,행정
폐광지역 개발 지원에 관한 특별법 일부개정법률안,2019-08-13,산업통상자원부,성장동력
지역문화진흥법 일부개정법률안,2019-08-13,문화체육관광부,문화/예술/체육/언론
아시아문화중심도시 조성에 관한 특별법 일부개정법률안,2019-08-13,문화체육관광부,문화/예술/체육/언론
문화예술후원 활성화에 관한 법률 일부개정법률안,2019-08-13,문화체육관광부,문화/예술/체육/언론
출입국관리법 일부개정법률안,2019-08-13,법무부,정치개혁
도서관법 일부개정법률안,2019-08-13,문화체육관광부,문화/예술/체육/언론
대중문화예술산업발전법 일부개정법률안,2019-08-13,문화체육관광부,문화/예술/체육/언론
사회복지사업법 일부개정법률안,2019-08-14,보건복지부,보건복지
병역법 일부개정법률안,2019-08-14,병무청,외교/통일/국방
아동복지법 일부개정법률안,2019-08-14,보건복지부,보건복지
공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 일부개정법률안,2019-08-14,국토교통부,교통/건축/국토
민법 일부개정법률안,2019-08-14,법무부,정치개혁
자동차손해배상 보장법 일부개정법률안,2019-08-14,국토교통부,교통/건축/국토
지방세특례제한법 일부개정법률안,2019-08-14,행정안전부,행정
일제하 일본군위안부 피해자에 대한 보호ㆍ지원 및 기념사업 등에 관한 법률 일부개정법률안,2019-08-14,여성가족부,인권/성평등
경찰공제회법 일부개정법률안,2019-08-14,경찰청,행정
직업안정법 일부개정법률안,2019-08-14,고용노동부,일자리
근로기준법 일부개정법률안,2019-08-14,고용노동부,일자리
기간제 및 단시간근로자 보호 등에 관한 법률 전부개정법률안,2019-08-14,고용노동부,일자리
파견근로자 보호 등에 관한 법률 일부개정법률안,2019-08-14,고용노동부,일자리
대기환경보전법 일부개정법률안,2019-08-14,환경부,안전/환경
선원법 일부개정법률안,2019-08-14,해양수산부,농산어촌
연근해어업의 구조개선 및 지원에 관한 법률 일부개정법률안,2019-08-14,해양수산부,농산어촌
장기공공임대주택 입주자 삶의 질 향상 지원법 일부개정법률안,2019-08-14,국토교통부,교통/건축/국토
우정사업 운영에 관한 특례법 일부개정법률안,2019-08-14,과학기술정보통신부,성장동력
여권법 일부개정법률안,2019-08-16,외교부,외교/통일/국방
서울특별시 행정특례에 관한 법률 일부개정법률안,2019-08-16,행정안전부,행정
지방자치법 일부개정법률안,2019-08-16,행정안전부,행정
국가를 당사자로 하는 계약에 관한 법률 일부개정법률안,2019-08-16,기획재정부,행정
디자인보호법 일부개정법률안,2019-08-16,특허청,기타
지방자치법 일부개정법률안,2019-08-16,행정안전부,행정
부동산등기법 일부개정법률안,2019-08-16,법무부,정치개혁
의료기기법 일부개정법률안,2019-08-16,식품의약품안전처,안전/환경
숙련기술장려법 일부개정법률안,2019-08-16,고용노동부,일자리
지방자치법 일부개정법률안,2019-08-16,행정안전부,행정
공공주택 특별법 일부개정법률안,2019-08-16,국토교통부,교통/건축/국토
농어촌정비법 일부개정법률안,2019-08-16,농림축산식품부,농산어촌
소비자생활협동조합법 일부개정법률안,2019-08-16,공정거래위원회,성장동력
소상공인 생계형 적합업종 지정에 관한 특별법  일부개정법률안,2019-08-16,중소벤처기업부,일자리
부동산 가격공시에 관한 법률 일부개정법률안,2019-08-16,국토교통부,교통/건축/국토
양육비 이행확보 및 지원에 관한 법률 일부개정법률안,2019-08-16,여성가족부,인권/성평등
하도급거래 공정화에 관한 법률 일부개정법률안,2019-08-19,공정거래위원회,성장동력
경찰공무원법 일부개정법률안,2019-08-19,경찰청,행정
국가공무원법 일부개정법률안,2019-08-19,인사혁신처,행정
지방공무원법 일부개정법률안,2019-08-19,행정안전부,행정
국토의 계획 및 이용에 관한 법률 일부개정법률안,2019-08-19,국토교통부,교통/건축/국토
부동산 가격공시에 관한 법률 일부개정법률안,2019-08-19,국토교통부,교통/건축/국토
부가가치세법 일부개정법률안,2019-08-19,기획재정부,행정
지방자치법 일부개정법률안,2019-08-19,행정안전부,행정
소방공무원법 일부개정법률안,2019-08-19,소방청,안전/환경
교육관련기관의 정보공개에 관한 특례법 일부개정법률안,2019-08-19,교육부,육아/교육
대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안,2019-08-19,중소벤처기업부,일자리
성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2019-08-19,법무부,정치개혁
국유재산법 일부개정법률안,2019-08-19,기획재정부,행정
군사기밀 보호법 일부개정법률안,2019-08-19,국방부,외교/통일/국방
정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2019-08-19,방송통신위원회,문화/예술/체육/언론
주택법 일부개정법률안,2019-08-19,국토교통부,교통/건축/국토
장애인 등에 대한 특수교육법 일부개정법률안,2019-08-19,교육부,육아/교육
산업안전보건법 일부개정법률안,2019-08-19,고용노동부,일자리
전기통신사업법 일부개정법률안,2019-08-19,과학기술정보통신부,성장동력
야생생물 보호 및 관리에 관한 법률 일부개정법률안,2019-08-19,환경부,안전/환경
채용절차의 공정화에 관한 법률 일부개정법률안,2019-08-19,고용노동부,일자리
조세특례제한법 일부개정법률안,2019-08-19,기획재정부,행정
한국은행법 일부개정법률안,2019-08-19,기획재정부,행정
국민체육진흥법 일부개정법률안,2019-08-20,문화체육관광부,문화/예술/체육/언론
정보통신기반 보호법 일부개정법률안,2019-08-20,과학기술정보통신부,성장동력
폐광지역 개발 지원에 관한 특별법 일부개정법률안,2019-08-20,산업통상자원부,성장동력
지방세특례제한법 일부개정법률안,2019-08-20,행정안전부,행정
부가가치세법 일부개정법률안,2019-08-20,기획재정부,행정
관광진흥법 일부개정법률안,2019-08-20,문화체육관광부,문화/예술/체육/언론
해운법 일부개정법률안,2019-08-20,해양수산부,농산어촌
자동차관리법 일부개정법률안,2019-08-20,국토교통부,교통/건축/국토
조세특례제한법 일부개정법률안,2019-08-20,기획재정부,행정
폐광지역 개발 지원에 관한 특별법 일부개정법률안,2019-08-20,산업통상자원부,성장동력
대중문화예술산업발전법 일부개정법률안,2019-08-20,문화체육관광부,문화/예술/체육/언론
하천법 일부개정법률안,2019-08-20,국토교통부,교통/건축/국토
장애인 문화예술 활동 지원에 관한 법률안,2019-08-20,문화체육관광부,문화/예술/체육/언론
국세기본법 일부개정법률안,2019-08-21,기획재정부,행정
소득세법 일부개정법률안,2019-08-21,기획재정부,행정
출입국관리법 일부개정법률안,2019-08-21,법무부,정치개혁
난민법 일부개정법률안,2019-08-21,법무부,정치개혁
과세자료의 제출 및 관리에 관한 법률 일부개정법률안,2019-08-21,기획재정부,행정
자본시장과 금융투자업에 관한 법률 일부개정법률안,2019-08-21,금융위원회,경제민주화
수도법 일부개정법률안,2019-08-21,환경부,안전/환경
환경오염시설의 통합관리에 관한 법률 일부개정법률안,2019-08-21,환경부,안전/환경
병역법 일부개정법률안,2019-08-21,병무청,외교/통일/국방
폐광지역 개발 지원에 관한 특별법 일부개정법률안,2019-08-21,산업통상자원부,성장동력
여객자동차 운수사업법 일부개정법률안,2019-08-21,국토교통부,교통/건축/국토
도로교통법 일부개정법률안,2019-08-21,경찰청,행정
영유아보육법 일부개정법률안,2019-08-21,보건복지부,보건복지
국민체육진흥법 일부개정법률안,2019-08-21,문화체육관광부,문화/예술/체육/언론
조세특례제한법 일부개정법률안,2019-08-22,기획재정부,행정
수산업협동조합법 일부개정법률안,2019-08-22,농림축산식품부,농산어촌
관세법 일부개정법률안,2019-08-22,기획재정부,행정
마약류 관리에 관한 법률 일부개정법률안,2019-08-22,식품의약품안전처,안전/환경
보험사기방지 특별법 일부개정법률안,2019-08-22,금융위원회,경제민주화
부가가치세법 일부개정법률안,2019-08-22,기획재정부,행정
수도법 일부개정법률안,2019-08-22,환경부,안전/환경
국제항해선박 및 항만시설의 보안에 관한 법률 일부개정법률안,2019-08-22,해양수산부,농산어촌
선박안전법 일부개정법률안,2019-08-22,해양수산부,농산어촌
이북5도 등에 관한 특별조치법 일부개정법률안,2019-08-22,행정안전부,행정
전자상거래 등에서의 소비자보호에 관한 법률 일부개정법률안,2019-08-22,공정거래위원회,성장동력
지방자치단체 출자·출연 기관의 운영에 관한 법률 일부개정법률안,2019-08-22,행정안전부,행정
사회적기업 육성법 일부개정법률안,2019-08-22,고용노동부,일자리
한국도로공사법 일부개정법률안,2019-08-22,국토교통부,교통/건축/국토
공공기록물 관리에 관한 법률 일부개정법률안,2019-08-23,행정안전부,행정
미세먼지 저감 및 관리에 관한 특별법 일부개정법률안,2019-08-23,환경부,안전/환경
의료법 일부개정법률안,2019-08-23,보건복지부,보건복지
한국토지주택공사법 일부개정법률안,2019-08-23,국토교통부,교통/건축/국토
국가공무원법 일부개정법률안,2019-08-23,인사혁신처,행정
조세특례제한법 일부개정법률안,2019-08-23,기획재정부,행정
군인사법 일부개정법률안,2019-08-23,국방부,외교/통일/국방
지방공무원법 일부개정법률안,2019-08-23,행정안전부,행정
교육공무원법 일부개정법률안,2019-08-23,교육부,육아/교육
교육공무원법 일부개정법률안,2019-08-23,교육부,육아/교육
지방세특례제한법 일부개정법률안,2019-08-23,행정안전부,행정
보험업법 일부개정법률안,2019-08-23,금융위원회,경제민주화
가축전염병 예방법 일부개정법률안,2019-08-23,농림축산식품부,농산어촌
경찰공무원법 일부개정법률안,2019-08-23,경찰청,행정
지진·화산재해대책법 일부개정법률안,2019-08-23,행정안전부,행정
정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2019-08-23,과학기술정보통신부,성장동력
전기통신사업법 일부개정법률안,2019-08-23,과학기술정보통신부,성장동력
조세특례제한법 일부개정법률안,2019-08-23,기획재정부,행정
정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,2019-08-23,보건복지부,보건복지
대한민국 재외공관 설치법 일부개정법률안,2019-08-23,외교부,외교/통일/국방
소방공무원법 일부개정법률안,2019-08-23,소방청,안전/환경
사회보장급여의 이용·제공 및 수급권자 발굴에 관한 법률 일부개정법률안,2019-08-23,보건복지부,보건복지
산업안전보건법 일부개정법률안,2019-08-23,고용노동부,일자리
지방세특례제한법 일부개정법률안,2019-08-23,행정안전부,행정
관광진흥법 일부개정법률안,2019-08-23,문화체육관광부,문화/예술/체육/언론
경륜·경정법 일부개정법률안,2019-08-26,문화체육관광부,문화/예술/체육/언론
도로교통법 일부개정법률안,2019-08-26,경찰청,행정
토지이용 인·허가 절차 간소화를 위한 특별법 일부개정법률안,2019-08-26,국토교통부,교통/건축/국토
혈액관리법 일부개정법률안,2019-08-26,보건복지부,보건복지
민사소송법 일부개정법률안,2019-08-26,법무부,정치개혁
담배사업법 일부개정법률안,2019-08-26,기획재정부,행정
민사집행법 일부개정법률안,2019-08-26,법무부,정치개혁
부동산 거래신고 등에 관한 법률 일부개정법률안,2019-08-26,국토교통부,교통/건축/국토
정부출연연구기관 등의 설립·운영 및 육성에 관한 법률 일부개정법률안,2019-08-26,국무조정실,행정
근로기준법 일부개정법률안,2019-08-26,고용노동부,일자리
조세특례제한법 일부개정법률안,2019-08-26,기획재정부,행정
제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법 일부개정법률안,2019-08-26,행정안전부,행정
조세특례제한법 일부개정법률안,2019-08-27,기획재정부,행정
사립학교법 일부개정법률안,2019-08-27,교육부,육아/교육
조세특례제한법 일부개정법률안,2019-08-27,기획재정부,행정
방송법 일부개정법률안,2019-08-27,방송통신위원회,문화/예술/체육/언론
민사집행법 일부개정법률안,2019-08-27,법무부,정치개혁
지하안전관리에 관한 특별법 일부개정법률안,2019-08-27,국토교통부,교통/건축/국토
전자상거래 등에서의 소비자보호에 관한 법률 일부개정법률안,2019-08-27,공정거래위원회,성장동력
지방세특례제한법 일부개정법률안,2019-08-27,행정안전부,행정
근로기준법 일부개정법률안,2019-08-27,고용노동부,일자리
국유재산특례제한법 일부개정법률안,2019-08-27,기획재정부,행정
도로교통법 일부개정법률안,2019-08-27,경찰청,행정
국민건강증진법 일부개정법률안,2019-08-27,보건복지부,보건복지
온종일 돌봄체계 운영ㆍ지원에 관한 특별법안,2019-08-27,교육부,육아/교육
근로기준법 일부개정법률안,2019-08-27,고용노동부,일자리
철도의 건설 및 철도시설 유지관리에 관한 법률 일부개정법률안,2019-08-27,국토교통부,교통/건축/국토
한국원자력안전기술원법 일부개정법률안,2019-08-27,원자력안전위원회,안전/환경
산업재해보상보험법 일부개정법률안,2019-08-28,고용노동부,일자리
보험업법 일부개정법률안,2019-08-28,금융위원회,경제민주화
대부업 등의 등록 및 금융이용자 보호에 관한 법률 일부개정법률안,2019-08-28,금융위원회,경제민주화
지역사랑상품권의 발행 및 운영에 관한 법률안,2019-08-28,행정안전부,행정
고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안,2019-08-28,고용노동부,일자리
근로복지기본법 일부개정법률안,2019-08-28,고용노동부,일자리
근로기준법 일부개정법률안,2019-08-28,고용노동부,일자리
노동조합 및 노동관계조정법 일부개정법률안,2019-08-28,고용노동부,일자리
노사관계 발전 지원에 관한 법률 일부개정법률안,2019-08-28,고용노동부,일자리
임금채권보장법 일부개정법률안,2019-08-28,고용노동부,일자리
지방세특례제한법 일부개정법률안,2019-08-28,행정안전부,행정
국가기술자격법 일부개정법률안,2019-08-28,고용노동부,일자리
국가를 당사자로 하는 계약에 관한 법률 일부개정법률안,2019-08-28,기획재정부,행정
자격기본법 일부개정법률안,2019-08-28,교육부,육아/교육
가축 및 축산물 이력관리에 관한 법률 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
진폐의 예방과 진폐근로자의 보호 등에 관한 법률 일부개정법률안,2019-08-28,고용노동부,일자리
장애인고용촉진 및 직업재활법 일부개정법률안,2019-08-28,고용노동부,일자리
조세특례제한법 일부개정법률안,2019-08-28,기획재정부,행정
국민연금법 일부개정법률안,2019-08-28,보건복지부,보건복지
소나무재선충병 방제특별법 일부개정법률안,2019-08-28,산림청,안전/환경
산림조합의 구조개선에 관한 법률 일부개정법률안,2019-08-28,산림청,안전/환경
산림조합법 일부개정법률안,2019-08-28,산림청,안전/환경
산지관리법 일부개정법률안,2019-08-28,산림청,안전/환경
산림보호법 일부개정법률안,2019-08-28,산림청,안전/환경
산림문화·휴양에 관한 법률 일부개정법률안,2019-08-28,산림청,안전/환경
민간인 통제선 이북지역의 산지관리에 관한 특별법 일부개정법률안,2019-08-28,산림청,안전/환경
한국산업인력공단법 일부개정법률안,2019-08-28,고용노동부,일자리
청년고용촉진 특별법 일부개정법률안,2019-08-28,고용노동부,일자리
남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2019-08-28,고용노동부,일자리
국립 국가폭력트라우마치유센터 설립 및 운영에 관한 법률안,2019-08-28,행정안전부,행정
산림자원의 조성 및 관리에 관한 법률 일부개정법률안,2019-08-28,산림청,안전/환경
한국투자공사법 일부개정법률안,2019-08-28,기획재정부,행정
농업협동조합의 구조개선에 관한 법률 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
농어촌마을 주거환경 개선 및 리모델링 촉진을 위한 특별법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
농어촌정비법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
농업협동조합법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,2019-08-28,환경부,안전/환경
기능성 양잠산업 육성 및 지원에 관한 법률 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
농어업재해대책법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
농어촌구조개선 특별회계법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
농업·농촌 및 식품산업 기본법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
공공주택 특별법 일부개정법률안,2019-08-28,국토교통부,교통/건축/국토
가축전염병 예방법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
민간임대주택에 관한 특별법 일부개정법률안,2019-08-28,국토교통부,교통/건축/국토
동물보호법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
식물방역법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
간척지의 농어업적 이용 및 관리에 관한 법률 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
동물보호법 일부개정법률안,2019-08-28,농림축산식품부,농산어촌
